name,type_name,character_name,number,image_url
Ultraman Hikari,,HIKARI,BP02-079,https://img.ultraman-cardgame.com/images/card_details/f196f3276869ab9fdbf7f7fa7ec42c3f6f1209fe.png
Hunter Knight Tsurugi,,HIKARI,BP02-078,https://img.ultraman-cardgame.com/images/card_details/660d345b6f05035e841fe0a066b35586d52e8762.png
Hunter Knight Tsurugi,,HIKARI,BP02-077,https://img.ultraman-cardgame.com/images/card_details/a5b4c81d9724e9b38e3d2726601d3a53af13f068.png
Hunter Knight Tsurugi,Knight Beam Blade,HIKARI,BP02-076,https://img.ultraman-cardgame.com/images/card_details/d157f11af353640a62fa59ddf0f25ea1196f086f.png
Hunter Knight Tsurugi,,HIKARI,BP02-075,https://img.ultraman-cardgame.com/images/card_details/ddf169910890332c1f29b2b7a6f0534f3bdff939.png
Hunter Knight Tsurugi,Knight Beam Blade,HIKARI,BP02-074,https://img.ultraman-cardgame.com/images/card_details/e4df7a98ebe6387c9265c0b8e8ae4343591e8d9b.png
Hunter Knight Tsurugi,,HIKARI,BP02-073,https://img.ultraman-cardgame.com/images/card_details/f145d01ce2dc5eb1fcb82f75db008609f26adb2e.png
Ultraman Mebius,,MEBIUS,BP02-072,https://img.ultraman-cardgame.com/images/card_details/23a1c88c01648e106b5a5b4e870c412c69031c92.png
Ultraman Mebius,,MEBIUS,BP02-071,https://img.ultraman-cardgame.com/images/card_details/9972bebdcabfe7d984954315514ec32639deb67f.png
Ultraman Mebius,Mebium Knight Blade,MEBIUS,BP02-070,https://img.ultraman-cardgame.com/images/card_details/7d75b12b27d9c971e8d59b610279336856d3fa8b.png
Ultraman Mebius,Lightning Counter Zero,MEBIUS,BP02-069,https://img.ultraman-cardgame.com/images/card_details/aa8303f5d9be861c5ae05ce39cac485357a2544f.png
Ultraman Mebius,Mebium Blade,MEBIUS,BP02-068,https://img.ultraman-cardgame.com/images/card_details/ec84b41a28c7fdbe15f28997e028cdb47a14ad6f.png
Ultraman Mebius,,MEBIUS,BP02-067,https://img.ultraman-cardgame.com/images/card_details/0717a8eda6f3e62cf9d07a5c9f5c8c7a95e5d7c5.png
Ultraman Mebius,,MEBIUS,BP02-066,https://img.ultraman-cardgame.com/images/card_details/584b540256728b63e84b00a8a15d790d7aa9cf70.png
Ultraman Mebius,,MEBIUS,BP02-065,https://img.ultraman-cardgame.com/images/card_details/9cd4071e68c9879c4a2addcd12fd56312f6524ab.png
Ultraman Mebius,Mebium Slash,MEBIUS,BP02-064,https://img.ultraman-cardgame.com/images/card_details/41b086980481ceaab0c42960e3f97ac2bef16e04.png
Ultraman Agul,V2,AGUL,BP02-063,https://img.ultraman-cardgame.com/images/card_details/b43d7f4f419dc369aeea6a19999517b6b66851ea.png
Ultraman Agul,V2,AGUL,BP02-062,https://img.ultraman-cardgame.com/images/card_details/71c114da3ee1aad0a590da67024c9ff012aa033c.png
Ultraman Agul,Photon Screw,AGUL,BP02-061,https://img.ultraman-cardgame.com/images/card_details/b87bc2c8a33f444c115b59a09511fb97dc31daf2.png
Ultraman Agul,V2,AGUL,BP02-060,https://img.ultraman-cardgame.com/images/card_details/8b277388bf1eff20c77a234ac1025fbaebb53167.png
Ultraman Agul,V2,AGUL,BP02-059,https://img.ultraman-cardgame.com/images/card_details/befa0d04d9e98b9a823ac11f42e5759f937ad605.png
Ultraman Agul,,AGUL,BP02-058,https://img.ultraman-cardgame.com/images/card_details/1baae1afb28d59194ee657a11ef4f65db0df79d4.png
Ultraman Agul,V1,AGUL,BP02-057,https://img.ultraman-cardgame.com/images/card_details/60c8bb6730d967301c2290ed6473218493056414.png
Ultraman Agul,V1,AGUL,BP02-056,https://img.ultraman-cardgame.com/images/card_details/ebced476e0c4a485ddbd5a4e1b53916ec525b5e8.png
Ultraman Agul,V1,AGUL,BP02-055,https://img.ultraman-cardgame.com/images/card_details/b7bdcb2a053ea68507baee0e4fc7554d1fe20d8b.png
Ultraman Dyna,Flash Type,DYNA,BP02-054,https://img.ultraman-cardgame.com/images/card_details/4429a4893498e7b595776ca8b5537b24cb00a657.png
Ultraman Dyna,Strong Type,DYNA,BP02-053,https://img.ultraman-cardgame.com/images/card_details/047e242798ca4fd4f2ffe60373c52f7371d41b93.png
Ultraman Dyna,Revolium Wave,DYNA,BP02-052,https://img.ultraman-cardgame.com/images/card_details/41c40dd20e18997ae039fd665421f69f83048c14.png
Ultraman Dyna,Flash Type,DYNA,BP02-051,https://img.ultraman-cardgame.com/images/card_details/d62b055a19cf378f26c43d052575832390891e08.png
Ultraman Dyna,Miracle Type,DYNA,BP02-050,https://img.ultraman-cardgame.com/images/card_details/e244434ad4607bf2eb22c2300fb5731120849bf9.png
Ultraman Dyna,,DYNA,BP02-049,https://img.ultraman-cardgame.com/images/card_details/a38b65303deaa5c309c1c205468ca0079fa5c3d4.png
Ultraman Dyna,Flash Type,DYNA,BP02-048,https://img.ultraman-cardgame.com/images/card_details/7d895125a2da55f1c443f31001246eed05147586.png
Ultraman Dyna,Flash Type,DYNA,BP02-047,https://img.ultraman-cardgame.com/images/card_details/bb82b8d051c1b3c93b0e59e0e29ac199cb8d4e66.png
Ultraman Dyna,Flash Type,DYNA,BP02-046,https://img.ultraman-cardgame.com/images/card_details/fa7d68605a144928fdb9fc806c7f36f854c44c4f.png
Ultraman Arc,Galaxy Armor,ARC,BP02-045,https://img.ultraman-cardgame.com/images/card_details/c596cdbf34e1ccba4af471d6364f4ddb9f564def.png
Ultraman Arc,Saturn Armor,ARC,BP02-044,https://img.ultraman-cardgame.com/images/card_details/1b452119ee4835b39b97f8b45d48de4b4f60d69d.png
Ultraman Arc,Galaxy Armor,ARC,BP02-043,https://img.ultraman-cardgame.com/images/card_details/58ed7e1d46503c4fa606a23c3a83092dce790c25.png
Ultraman Arc,Luna Armor,ARC,BP02-042,https://img.ultraman-cardgame.com/images/card_details/c7c9c64a6ed079944598c02c53165004a1a3fb55.png
Ultraman Arc,Solis Armor,ARC,BP02-041,https://img.ultraman-cardgame.com/images/card_details/117e81e1637322a6569c5558a35c5f0a5b8f26fc.png
Ultraman Arc,,ARC,BP02-040,https://img.ultraman-cardgame.com/images/card_details/57793fb2af747c148d5beb3fb644d6e589e7d687.png
Ultraman Arc,,ARC,BP02-039,https://img.ultraman-cardgame.com/images/card_details/c5f2740ab9018459d1df6a6ea33a35d0cc2285fb.png
Ultraman Blu,Ground,BLU,BP02-038,https://img.ultraman-cardgame.com/images/card_details/1c8e4963558fcaba536e4b9c4e74c86d4b3026f0.png
Ultraman Blu,R/B Slugger Blu,BLU,BP02-037,https://img.ultraman-cardgame.com/images/card_details/e950c4702b787d32f6e021a99bb6e78862a78e83.png
Ultraman Blu,Flame,BLU,BP02-036,https://img.ultraman-cardgame.com/images/card_details/bbc82a5e01cc5729a6427dfbe7a3d995c5ea14bc.png
Ultraman Blu,Aqua,BLU,BP02-035,https://img.ultraman-cardgame.com/images/card_details/a1bcbe124722d967bcd1c501f9de2eca4fc039ff.png
Ultraman Blu,Ground,BLU,BP02-034,https://img.ultraman-cardgame.com/images/card_details/e89ddc3660c960c2984e3953ebf9faff467bac8e.png
Ultraman Blu,Wind,BLU,BP02-033,https://img.ultraman-cardgame.com/images/card_details/89e3376fe6741eb4c1cfcefc3d8b979885d9f36c.png
Ultraman Blu,R/B Slugger Blu,BLU,BP02-032,https://img.ultraman-cardgame.com/images/card_details/ad03cbd14a6bbedf80281b5e090fb8a97d18d6cb.png
Ultraman Blu,,BLU,BP02-031,https://img.ultraman-cardgame.com/images/card_details/2d3a3525281d16b2dc6f56ed66265b5934a2c597.png
Ultraman Blu,Aqua,BLU,BP02-030,https://img.ultraman-cardgame.com/images/card_details/9755685e22175b81871aab1b000dab00c6321084.png
Ultraman Blu,R/B Slugger Blu,BLU,BP02-029,https://img.ultraman-cardgame.com/images/card_details/b73db1f76646ae7c1ea5ee14eee43b14c1d10695.png
Ultraman Blu,Aqua,BLU,BP02-028,https://img.ultraman-cardgame.com/images/card_details/33423317aa81690b0d99d588fcb966100ce6d5d4.png
Ultraman Blu,Aqua,BLU,BP02-027,https://img.ultraman-cardgame.com/images/card_details/06ca861cf5a66dc66b80d2574d3404d07f94033d.png
Ultraman Rosso,R/B Slugger Rosso,ROSSO,BP02-026,https://img.ultraman-cardgame.com/images/card_details/3c1bb7a87881987ff4f88f2099d56f86d55c97fa.png
Ultraman Rosso,R/B Slugger Rosso,ROSSO,BP02-025,https://img.ultraman-cardgame.com/images/card_details/001309eebb9c610582f5a8d98cfe37ce4d7e8edc.png
Ultraman Rosso,Aqua,ROSSO,BP02-024,https://img.ultraman-cardgame.com/images/card_details/81138f1f0cea224b3ef218c56761101cdaa578ab.png
Ultraman Rosso,Flame,ROSSO,BP02-023,https://img.ultraman-cardgame.com/images/card_details/b9df8f057e34d6964b2a6b3dceeaef99d9fa2f83.png
Ultraman Rosso,Ground,ROSSO,BP02-022,https://img.ultraman-cardgame.com/images/card_details/9b52a0dbb2b59bbd95c8ae52797b81ffb2b76a26.png
Ultraman Rosso,Wind,ROSSO,BP02-021,https://img.ultraman-cardgame.com/images/card_details/1195386b5d17a7a7b9d2c3e43c83ce1122630e86.png
Ultraman Rosso,R/B Slugger Rosso,ROSSO,BP02-020,https://img.ultraman-cardgame.com/images/card_details/bc1833efadb3988c21574bc44ee975dab8603cbb.png
Ultraman Rosso,,ROSSO,BP02-019,https://img.ultraman-cardgame.com/images/card_details/7717194c62d8960de70529a9a4cb415712efb527.png
Ultraman Rosso,R/B Slugger Rosso,ROSSO,BP02-018,https://img.ultraman-cardgame.com/images/card_details/c2962f31e867c53e0300f306ce68c33604e0459a.png
Ultraman Rosso,Flame,ROSSO,BP02-017,https://img.ultraman-cardgame.com/images/card_details/22767e42e63d816879357f83156ee13a085ba4d8.png
Ultraman Rosso,Flame,ROSSO,BP02-016,https://img.ultraman-cardgame.com/images/card_details/9dd39b2bfe49b355e21cba0787eda0f7d7c06ba5.png
Ultraman Rosso,Flame,ROSSO,BP02-015,https://img.ultraman-cardgame.com/images/card_details/f2b7b8e7dd7178edf0d98c8ceb11ed7cb044ac3b.png
Ultraman Zero,,ZERO,BP02-014,https://img.ultraman-cardgame.com/images/card_details/68ddbe17ccf5f9c930c26a9c216d3ed7dc4e30cf.png
Ultimate Zero,,ZERO,BP02-013,https://img.ultraman-cardgame.com/images/card_details/0e04ab85469f19bc72b56084d36b4bfe3a5613c6.png
Ultimate Zero,,ZERO,BP02-012,https://img.ultraman-cardgame.com/images/card_details/4ebabf5ee3fb440533a9c32acb6fd4ec5d22ad92.png
Ultraman Zero,Ultra Zero Spark,ZERO,BP02-011,https://img.ultraman-cardgame.com/images/card_details/2f8c988def7c84352b0faaf7d514644754eee4a8.png
Ultraman Zero,Ultra Zero Bracelet,ZERO,BP02-010,https://img.ultraman-cardgame.com/images/card_details/a1f751fde9968320c95011405fbfad7fc0244661.png
Ultraman Zero,,ZERO,BP02-009,https://img.ultraman-cardgame.com/images/card_details/744b721279a2b9369a0f5b4d785ea0d9f8e79997.png
Ultraman Zero,Ultra Zero Lance,ZERO,BP02-008,https://img.ultraman-cardgame.com/images/card_details/95408ab171e9fed9febf0ada54fcb303ae2ce64a.png
Ultraman Gaia,V2,GAIA,BP02-007,https://img.ultraman-cardgame.com/images/card_details/b76ddf1c4d106b2f81825eba0fdd2931a465c714.png
Ultraman Gaia,Supreme Version,GAIA,BP02-006,https://img.ultraman-cardgame.com/images/card_details/97a261fe26d59107871520c77f6dd69d28709164.png
Ultraman Gaia,Supreme Version,GAIA,BP02-005,https://img.ultraman-cardgame.com/images/card_details/4e0543433f52ad75264f0cb75a6da9eb59255fd1.png
Ultraman Gaia,V2,GAIA,BP02-004,https://img.ultraman-cardgame.com/images/card_details/cfc060c7658966e82f89aaba7c5e2ca0e8dd4349.png
Ultraman Gaia,V2,GAIA,BP02-003,https://img.ultraman-cardgame.com/images/card_details/3b6b8267285f3b8b192881c2b9b8a907220a4bbd.png
Ultraman Gaia,Liquidator,GAIA,BP02-002,https://img.ultraman-cardgame.com/images/card_details/d99eb60ec371d65ab0d1f10362320514507f748f.png
Ultraman Gaia,V2,GAIA,BP02-001,https://img.ultraman-cardgame.com/images/card_details/04493fbb09a6944310a9cd924ce34298efb9fd91.png
Ultraman Zero,,ZERO,(PR-012)BP01-063,https://img.ultraman-cardgame.com/images/card_details/0164438ff160f9d36bddb840daa2f5cf230ce2f4.png
Legend of the Stone,,-,AP-S BP01-101,https://img.ultraman-cardgame.com/images/card_details/5346ef6343b88cd2e22eb02d85dd074dca7753cd.png
Ultraman Trigger,,TRIGGER,AP(20/20) BP01-085,https://img.ultraman-cardgame.com/images/card_details/722869076e754e87a4fd9e5c09116d546f2d4ce5.png
Ultraman Trigger,Multi Type,TRIGGER,AP(19/20) BP01-082,https://img.ultraman-cardgame.com/images/card_details/6f308fa3dd23511d40b81be9ef509d090c597f98.png
Ultraman Z,,Z,AP(18/20) BP01-076,https://img.ultraman-cardgame.com/images/card_details/0a70d0e5d1f09b712f77c109e38b21ece8b25edb.png
Ultraman Z,Alpha Edge,Z,AP(17/20) BP01-073,https://img.ultraman-cardgame.com/images/card_details/bae7cf005154f0d7c96f47d1022029d7c89b0e1e.png
Ultraman Geed,,GEED,AP(16/20) BP01-067,https://img.ultraman-cardgame.com/images/card_details/93edf449c7378cd343ea66c7df29e71a9cc31251.png
Ultraman Geed,Primitive,GEED,AP(15/20) BP01-064,https://img.ultraman-cardgame.com/images/card_details/de449e161f64e7d1915f8cfab453b7b0e9322d7d.png
